experiment_id,env_id,net_arch,learning_rate,batch_size,gamma,n_steps,ent_coef,gae_lambda,clip_range,target_kl,n_epochs,vf_coef,normalize_advantage,total_timesteps,trained_timesteps,status,objective_score,mean_reward,std_reward,training_time_s
hum_256x256_trial_027,Humanoid-v5,"[256, 256]",0.00017947120735304186,512,0.97,2048,0.0062732377752263944,0.95,0.2,0.02930026692712067,10,0.5,True,1000000,200000.0,pruned,321.306823893,322.5454836,12.386597069510401,65.71
hum_256x256_trial_028,Humanoid-v5,"[256, 256]",0.00010184434804588845,256,0.97,2048,0.002813857414509679,0.966,0.1,0.026536405486411868,10,0.35,False,1000000,100000.0,pruned,263.7383733002,266.25276204999994,25.143887498373086,33.04
hum_256x256_trial_029,Humanoid-v5,"[256, 256]",3.140611427336021e-05,128,0.97,2048,0.009491409672557963,0.95,0.15,0.022421180242421204,10,0.75,True,1000000,1000000.0,completed,326.2963610554,330.0770562000001,37.80695144567208,432.29
hum_256x256_trial_030,Humanoid-v5,"[256, 256]",6.334779301695648e-05,512,0.96,1024,0.0008237087578593535,0.95,0.3,0.014820046671120371,20,0.5,False,1000000,100000.0,pruned,318.5571697475,320.2524588499999,16.9528910252449,33.34
hum_256x256_trial_031,Humanoid-v5,"[256, 256]",1.431581216948626e-05,256,0.99,4096,0.000741327081155198,0.966,0.1,0.01737589413347222,15,0.35,False,1000000,1000000.0,completed,417.1479933219,430.68910155000003,135.41108228114547,411.74
hum_256x256_trial_033,Humanoid-v5,"[256, 256]",1.015398651939475e-05,64,0.99,4096,0.0006063712789719864,0.966,0.1,0.016226334663191996,15,0.35,False,1000000,200000.0,pruned,379.6109122599,382.03250364999997,24.21591390081529,132.21
hum_256x256_trial_034,Humanoid-v5,"[256, 256]",1.5377998739008222e-05,256,0.99,4096,0.0008091894800510561,0.966,0.1,0.017981690082411614,15,0.35,False,1000000,100000.0,pruned,318.6881002989,321.04756505000006,23.59464751116736,43.66
hum_256x256_trial_035,Humanoid-v5,"[256, 256]",1.4608101525015506e-05,256,0.99,4096,0.00037313937702912703,0.966,0.1,0.02101563148292315,15,0.35,False,1000000,100000.0,pruned,302.1155536743,303.2734051,11.5785142570734,42.87
hum_256x256_trial_036,Humanoid-v5,"[256, 256]",2.7973614512170226e-05,256,0.99,4096,0.0015812278639289023,0.966,0.1,0.011663330275389096,20,0.35,False,1000000,100000.0,pruned,371.9255722677,374.42364355,24.980712823441113,46.33
hum_256x256_trial_037,Humanoid-v5,"[256, 256]",1.5992140476410874e-05,256,0.99,4096,0.0010387227660406087,0.99,0.1,0.017122394705333378,15,0.75,False,1000000,100000.0,pruned,344.3171569191,346.30310045,19.85943530889586,42.03
hum_256x256_trial_038,Humanoid-v5,"[256, 256]",0.0003233301592277123,256,0.99,1024,0.00023230898414170666,0.966,0.2,0.023947271923339883,20,0.5,False,1000000,100000.0,pruned,310.4850541538,313.49548715000003,30.104329961806055,35.18
